                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1554,                 2.0572,                 1.2659,                0.68043,                0.62553,                   0.68,                0.45952,                  1.145,                 1.4448,                 1.2761,             0.00036794,             0.00036794,             0.00036794
                      2,                 1.1668,                 1.2972,                 1.2396,                0.62644,                0.54031,                0.57021,                0.36664,                  1.278,                 1.8354,                  1.377,             0.00072366,             0.00072366,             0.00072366
                      3,                 1.2273,                 1.3036,                 1.2858,                0.66767,                0.54885,                0.63011,                0.39404,                 1.2727,                 1.6044,                  1.396,              0.0010647,              0.0010647,              0.0010647
                      4,                 1.1916,                 1.2359,                 1.2593,                0.74131,                  0.642,                0.70704,                 0.4717,                 1.1548,                 1.5004,                 1.2682,               0.001045,               0.001045,               0.001045
                      5,                 1.1517,                 1.1258,                 1.2294,                0.75328,                0.67434,                0.74367,                0.49691,                 1.1901,                 1.2321,                 1.2924,               0.001023,               0.001023,               0.001023
                      6,                 1.1046,                   1.04,                 1.1937,                 0.8187,                0.75574,                0.83247,                0.56754,                 1.1139,                0.94816,                 1.2292,               0.001001,               0.001001,               0.001001
                      7,                 1.0708,                0.99122,                 1.1801,                0.81848,                0.76288,                0.83572,                0.57636,                 1.0691,                0.94992,                 1.1971,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.0384,                0.93341,                 1.1587,                0.83371,                0.75044,                0.83081,                0.58991,                 1.0414,                0.94144,                 1.1801,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.0283,                0.89999,                 1.1518,                0.82712,                0.76174,                 0.8363,                0.59182,                0.99568,                0.86971,                 1.1655,             0.00093502,             0.00093502,             0.00093502
                     10,                 0.9988,                0.85562,                  1.131,                0.83744,                  0.791,                0.84304,                 0.6057,                 1.0094,                0.86292,                 1.1545,             0.00091302,             0.00091302,             0.00091302
                     11,                0.97871,                0.84634,                 1.1249,                0.81914,                0.75135,                0.84642,                0.60483,                 1.0169,                0.87181,                  1.146,             0.00089102,             0.00089102,             0.00089102
                     12,                0.96953,                0.81469,                 1.1143,                0.82392,                0.81249,                0.87133,                0.63154,                0.97317,                0.78701,                   1.13,             0.00086902,             0.00086902,             0.00086902
                     13,                 0.9356,                0.77161,                 1.0975,                0.78217,                0.81922,                0.84853,                0.62203,                0.95485,                0.80472,                 1.1272,             0.00084703,             0.00084703,             0.00084703
                     14,                0.92185,                0.74723,                 1.0868,                0.87954,                0.80234,                0.88382,                0.63729,                0.96682,                0.75941,                 1.1347,             0.00082503,             0.00082503,             0.00082503
                     15,                0.90958,                 0.7455,                 1.0831,                0.84665,                0.81268,                0.86988,                0.64289,                0.93556,                0.75441,                 1.1096,             0.00080303,             0.00080303,             0.00080303
                     16,                0.89698,                0.72117,                 1.0746,                0.85316,                0.82911,                0.88187,                0.65279,                0.90961,                0.72363,                 1.0874,             0.00078103,             0.00078103,             0.00078103
                     17,                0.87244,                0.69682,                 1.0662,                0.85109,                0.82027,                 0.8759,                0.64474,                0.95358,                0.73461,                 1.1192,             0.00075904,             0.00075904,             0.00075904
                     18,                0.87589,                0.68651,                  1.065,                0.87504,                0.87703,                0.90498,                  0.683,                  0.897,                0.63941,                 1.0891,             0.00073704,             0.00073704,             0.00073704
                     19,                0.85764,                0.65732,                 1.0514,                0.88065,                 0.8122,                0.88714,                0.67154,                0.87673,                0.67397,                 1.0674,             0.00071504,             0.00071504,             0.00071504
                     20,                0.85139,                0.64302,                 1.0485,                 0.8849,                0.85719,                0.90569,                0.66636,                0.90075,                0.67446,                 1.0845,             0.00069304,             0.00069304,             0.00069304
                     21,                0.85031,                 0.6516,                 1.0492,                 0.8618,                0.85765,                0.89959,                0.68011,                0.88244,                  0.654,                 1.0743,             0.00067104,             0.00067104,             0.00067104
                     22,                0.82194,                0.62697,                 1.0367,                0.87569,                0.85738,                0.89714,                0.67564,                 0.9057,                0.65145,                 1.0833,             0.00064905,             0.00064905,             0.00064905
                     23,                0.81825,                0.61898,                 1.0343,                 0.8631,                0.84112,                0.89137,                0.67237,                0.87862,                0.66357,                 1.0561,             0.00062705,             0.00062705,             0.00062705
                     24,                0.80222,                0.60082,                 1.0254,                0.86477,                0.85893,                0.90414,                0.67389,                0.90414,                0.66747,                 1.0948,             0.00060505,             0.00060505,             0.00060505
                     25,                0.79565,                0.59545,                 1.0258,                0.87142,                0.87276,                0.90997,                0.68829,                0.87389,                0.63013,                 1.0601,             0.00058305,             0.00058305,             0.00058305
                     26,                0.78648,                0.58875,                 1.0172,                0.87733,                 0.8632,                0.91017,                0.69924,                0.85072,                0.61765,                  1.047,             0.00056105,             0.00056105,             0.00056105
                     27,                0.76819,                0.56128,                 1.0105,                0.87853,                0.87825,                0.91127,                0.69481,                0.86893,                0.61967,                 1.0564,             0.00053906,             0.00053906,             0.00053906
                     28,                0.76832,                 0.5578,                 1.0071,                0.89666,                0.84115,                0.90126,                 0.6819,                0.86997,                0.64079,                 1.0674,             0.00051706,             0.00051706,             0.00051706
                     29,                0.75545,                0.55061,                 1.0001,                0.89655,                0.83565,                0.89653,                0.67526,                0.85499,                0.63445,                 1.0508,             0.00049506,             0.00049506,             0.00049506
                     30,                0.74476,                0.53326,                0.99543,                0.89738,                0.84879,                0.90977,                 0.7037,                0.83686,                0.58472,                  1.035,             0.00047306,             0.00047306,             0.00047306
                     31,                0.73308,                0.52252,                0.98435,                0.89862,                  0.857,                 0.9114,                0.69989,                0.82972,                0.58518,                 1.0427,             0.00045107,             0.00045107,             0.00045107
                     32,                 0.7255,                0.51866,                0.98503,                0.91437,                 0.8291,                0.89735,                0.68452,                  0.858,                0.62999,                 1.0597,             0.00042907,             0.00042907,             0.00042907
                     33,                 0.7115,                0.51213,                0.98384,                0.90972,                0.85652,                0.91393,                0.71308,                0.82032,                0.57978,                 1.0346,             0.00040707,             0.00040707,             0.00040707
                     34,                0.70672,                0.49571,                0.98117,                0.90603,                0.85823,                0.91316,                0.70318,                0.83926,                0.62534,                 1.0454,             0.00038507,             0.00038507,             0.00038507
                     35,                0.69579,                 0.4929,                 0.9805,                0.90719,                0.85127,                0.91241,                0.70444,                0.84062,                0.61149,                 1.0402,             0.00036307,             0.00036307,             0.00036307
                     36,                0.68156,                0.48427,                0.97193,                0.90197,                0.87374,                0.91513,                0.70277,                0.83369,                0.59883,                 1.0323,             0.00034108,             0.00034108,             0.00034108
                     37,                0.66466,                 0.4681,                0.96205,                0.90879,                0.85135,                0.91726,                0.70895,                0.83587,                0.58777,                 1.0415,             0.00031908,             0.00031908,             0.00031908
                     38,                0.66134,                0.45934,                0.96112,                0.92147,                0.86262,                0.92045,                0.71404,                0.82704,                0.56143,                 1.0458,             0.00029708,             0.00029708,             0.00029708
                     39,                0.65291,                0.45512,                0.95803,                  0.923,                0.86212,                0.91555,                  0.722,                0.82475,                0.57092,                 1.0477,             0.00027508,             0.00027508,             0.00027508
                     40,                0.64413,                 0.4512,                0.95088,                  0.923,                0.85346,                0.91704,                0.71037,                0.81894,                0.59831,                   1.03,             0.00025309,             0.00025309,             0.00025309
