                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1864,                 2.4645,                 1.2674,                0.68599,                0.63546,                 0.6707,                0.44122,                 1.1413,                 1.7583,                  1.242,              0.0003688,              0.0003688,              0.0003688
                      2,                 1.2143,                 1.7451,                 1.2668,                0.65904,                0.59903,                0.63727,                0.42881,                 1.1341,                 1.4151,                 1.2495,              0.0007245,              0.0007245,              0.0007245
                      3,                 1.2109,                 1.5161,                 1.2713,                0.66873,                0.57645,                0.64511,                0.43237,                 1.1524,                 1.7202,                  1.303,              0.0010655,              0.0010655,              0.0010655
                      4,                  1.173,                 1.3507,                 1.2573,                0.70543,                  0.676,                0.74556,                 0.4923,                 1.1623,                 1.2313,                 1.2881,               0.001045,               0.001045,               0.001045
                      5,                 1.1592,                 1.2335,                 1.2404,                0.80809,                0.72055,                0.78989,                0.55892,                 1.0609,                 1.1686,                   1.21,               0.001023,               0.001023,               0.001023
                      6,                 1.0977,                 1.1112,                 1.1982,                0.76178,                0.70849,                0.78252,                0.54616,                 1.0574,                 1.1172,                 1.2055,               0.001001,               0.001001,               0.001001
                      7,                 1.0772,                 1.0643,                 1.1959,                0.78132,                  0.753,                0.81017,                0.57445,                 1.0194,                 1.0583,                 1.1832,             0.00097901,             0.00097901,             0.00097901
                      8,                  1.053,                 1.0158,                 1.1747,                0.82064,                0.76089,                0.83291,                0.59139,                 1.0226,                0.90941,                 1.1723,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.0408,                 0.9667,                 1.1646,                0.79697,                0.72828,                0.82283,                0.57667,                 1.0026,                 1.0408,                 1.1696,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.0097,                 0.9149,                 1.1457,                0.83707,                0.76353,                 0.8413,                0.60202,                 1.0169,                0.83441,                 1.1615,             0.00091302,             0.00091302,             0.00091302
                     11,                0.99052,                0.88295,                 1.1345,                0.83785,                0.81302,                0.86681,                0.63396,                0.96435,                0.79108,                  1.116,             0.00089102,             0.00089102,             0.00089102
                     12,                0.99231,                0.87341,                 1.1349,                0.87432,                0.76279,                0.85155,                0.61405,                0.94166,                 0.8422,                 1.1194,             0.00086902,             0.00086902,             0.00086902
                     13,                0.97588,                0.83988,                 1.1244,                0.81721,                0.77645,                0.86149,                0.63378,                0.93113,                0.79694,                 1.1222,             0.00084703,             0.00084703,             0.00084703
                     14,                0.95056,                0.81267,                 1.1124,                0.84885,                0.82101,                0.87692,                0.64471,                0.94175,                0.74052,                 1.1203,             0.00082503,             0.00082503,             0.00082503
                     15,                0.94824,                0.79817,                 1.1094,                0.85532,                0.81853,                 0.8778,                0.64667,                0.93387,                0.73118,                 1.1216,             0.00080303,             0.00080303,             0.00080303
                     16,                0.92438,                0.75507,                 1.0897,                0.84918,                0.83376,                0.88644,                0.64679,                0.94557,                  0.724,                 1.1203,             0.00078103,             0.00078103,             0.00078103
                     17,                0.91223,                0.75137,                 1.0917,                0.87212,                0.79959,                0.87976,                0.65292,                0.91857,                0.69708,                 1.1079,             0.00075904,             0.00075904,             0.00075904
                     18,                0.90407,                0.73525,                 1.0799,                0.87211,                0.82579,                0.88203,                0.66877,                0.88322,                 0.6944,                 1.0861,             0.00073704,             0.00073704,             0.00073704
                     19,                0.88213,                 0.7096,                 1.0742,                 0.8338,                0.84849,                0.88178,                0.66322,                0.91719,                0.66448,                 1.1075,             0.00071504,             0.00071504,             0.00071504
                     20,                0.88506,                0.70837,                 1.0725,                 0.8446,                0.82164,                0.88444,                0.65505,                0.92642,                0.69239,                 1.0948,             0.00069304,             0.00069304,             0.00069304
                     21,                0.87406,                 0.6925,                 1.0707,                0.85431,                0.85574,                0.89202,                0.67239,                0.88352,                0.67439,                 1.0762,             0.00067104,             0.00067104,             0.00067104
                     22,                0.85334,                0.65898,                 1.0531,                0.87565,                0.84386,                0.90725,                0.68099,                 0.9022,                0.64627,                 1.0824,             0.00064905,             0.00064905,             0.00064905
                     23,                0.84097,                0.65493,                 1.0494,                0.86458,                0.85389,                0.89876,                0.67627,                0.87468,                0.66156,                 1.0707,             0.00062705,             0.00062705,             0.00062705
                     24,                0.84267,                0.65259,                 1.0498,                0.86239,                0.83125,                 0.8813,                0.67475,                0.88142,                0.66906,                 1.0924,             0.00060505,             0.00060505,             0.00060505
                     25,                0.82201,                0.63609,                 1.0355,                0.86049,                0.84533,                 0.8865,                0.66257,                0.88286,                0.64055,                 1.0895,             0.00058305,             0.00058305,             0.00058305
                     26,                0.82464,                0.64055,                 1.0439,                 0.8794,                0.84154,                0.90278,                 0.6867,                0.87039,                0.63256,                 1.0631,             0.00056105,             0.00056105,             0.00056105
                     27,                0.81152,                0.61626,                 1.0365,                0.85801,                0.86463,                 0.9067,                0.69991,                0.85813,                0.60561,                 1.0762,             0.00053906,             0.00053906,             0.00053906
                     28,                0.81045,                 0.6167,                 1.0348,                0.85373,                0.87639,                0.90775,                0.69277,                0.86498,                0.60832,                 1.0774,             0.00051706,             0.00051706,             0.00051706
                     29,                0.79908,                0.59285,                  1.024,                0.88605,                0.85859,                0.90137,                0.68834,                0.87497,                0.62015,                 1.0781,             0.00049506,             0.00049506,             0.00049506
                     30,                0.78432,                0.57563,                  1.024,                0.89182,                0.85672,                0.90678,                0.69821,                0.86593,                0.60794,                 1.0718,             0.00047306,             0.00047306,             0.00047306
                     31,                 0.7823,                0.57354,                 1.0186,                0.89648,                0.85762,                 0.9103,                0.69888,                0.85319,                0.57279,                 1.0621,             0.00045107,             0.00045107,             0.00045107
                     32,                0.76683,                0.55609,                 1.0125,                0.87939,                0.86018,                0.90518,                0.69305,                0.86121,                 0.5964,                 1.0736,             0.00042907,             0.00042907,             0.00042907
                     33,                0.76686,                0.55622,                  1.008,                0.90792,                0.84908,                0.91221,                0.69929,                0.86851,                 0.5852,                 1.0842,             0.00040707,             0.00040707,             0.00040707
                     34,                0.75001,                0.54135,                 1.0047,                0.89763,                0.85005,                 0.9076,                0.70573,                 0.8521,                0.57147,                 1.0701,             0.00038507,             0.00038507,             0.00038507
                     35,                0.73826,                0.53988,                0.99552,                0.89891,                 0.8564,                0.91189,                0.71295,                0.83949,                0.56133,                 1.0528,             0.00036307,             0.00036307,             0.00036307
                     36,                0.74224,                0.53941,                0.99813,                0.90947,                0.86334,                0.91871,                0.70246,                0.87633,                0.56223,                 1.0816,             0.00034108,             0.00034108,             0.00034108
                     37,                0.74021,                0.53149,                  0.999,                0.91558,                0.84817,                0.90731,                0.70361,                0.86075,                0.56389,                 1.0798,             0.00031908,             0.00031908,             0.00031908
